Household_ID,Electricity_Consumption_kWh,Renewable_Energy_Usage,Season,Weather,Temperature_Celsius,Bill_Amount_INR
1,374.507123,0,Spring,Cloudy,27.42338468,5046.323266
2,279.2603548,0,Spring,Stormy,25.41739966,3381.110454
3,397.1532807,0,Monsoon,Cloudy,23.68221026,4140.002952
4,528.4544785,1,Spring,Stormy,28.71482157,4997.792647
5,264.8769938,1,Monsoon,Clear,19.20903771,4520.358469000001
6,264.8794565,0,Winter,Rainy,20.13209951,3937.691911
7,536.8819223,1,Monsoon,Stormy,15.0,2467.0182059999997
8,415.1152094,1,Spring,Rainy,22.75182139,5022.980473
9,229.5788421,0,Winter,Rainy,21.74757211,6300.670959
10,381.3840065,0,Monsoon,Cloudy,23.57246858,4198.808283
11,230.4873461,0,Winter,Stormy,22.53045665,6434.47451
12,230.140537,0,Summer,Cloudy,29.14288518,4368.136764
13,336.2943407,0,Spring,Clear,30.82108507,5798.847932
14,13.0079633,1,Summer,Clear,16.82525593,2407.860859
15,41.26232512,0,Winter,Stormy,25.90365169,4425.503692
16,215.6568706,1,Monsoon,Rainy,26.71788213,3648.5123470000003
17,148.0753319,0,Winter,Cloudy,21.30521589,3752.574866
18,347.1370999,0,Summer,Stormy,26.30609564,5077.579172
19,163.7963887,0,Spring,Stormy,17.9451605,5553.953004999999
20,88.1544448,0,Winter,Cloudy,28.73256236,5609.66139
21,519.8473153,0,Summer,Rainy,17.9887773,5464.236369
22,266.1335549,1,Winter,Clear,30.66440333,5127.182358999999
23,310.1292307,0,Winter,Stormy,16.34518088,4946.857667
24,86.28777207,1,Spring,Stormy,27.16417418,3826.3945289999997
25,218.3425913,0,Monsoon,Clear,31.35000424,5867.472011999999
26,316.6383885,1,Summer,Clear,17.31651268,4511.7984209999995
27,127.3509634,0,Winter,Cloudy,24.2593293,4499.293299
28,356.3547028,1,Spring,Cloudy,35.0,3314.269733
29,209.9041965,0,Winter,Rainy,20.1355182,6112.793232
30,256.2459375,0,Monsoon,Clear,25.31894443,5148.325837
31,209.7440082,0,Spring,Clear,23.09320092,4777.878461
32,577.8417277,1,Spring,Clear,22.67780298,4251.976945
33,297.9754163,0,Winter,Clear,15.0,5134.291322
34,141.3433607,0,Spring,Rainy,29.69757719,3693.239799
35,423.3817368,0,Winter,Rainy,18.80972921,5364.809347
36,116.8734525,0,Spring,Rainy,26.34203872,6142.377364
37,331.3295393,1,Winter,Cloudy,25.45790388,3004.424942
38,6.049481418,0,Spring,Stormy,26.86049798,4211.5415410000005
39,100.7720927,0,Monsoon,Clear,23.3915141,4144.66301
40,329.5291854,0,Monsoon,Cloudy,20.38895929,6438.937218
41,410.769987,1,Monsoon,Rainy,19.45580085,4172.448579
42,325.7052422,0,Winter,Rainy,27.49855536,5496.0266679999995
43,282.6527576,1,Winter,Cloudy,27.20275878,3860.249627
44,254.8344457,1,Winter,Cloudy,30.25627411,4019.456647
45,78.22170144,1,Monsoon,Cloudy,20.69690588,2515.0834219999997
46,192.0233687,0,Spring,Cloudy,20.4187106,5183.519437999999
47,230.9041844,1,Winter,Stormy,17.30004041,3802.766085
48,458.5683339,0,Winter,Rainy,23.84110546,5662.771891
49,351.5427434,0,Winter,Stormy,27.68261014,3718.8377200000004
50,35.5439767,1,Spring,Cloudy,29.35538058,3860.669111
51,348.6125954,1,Winter,Cloudy,24.95706301,2404.933767
52,242.2376579,1,Summer,Cloudy,28.19946386,3800.496137
53,198.4617,0,Spring,Cloudy,25.70889617,4759.526254
54,391.7514433,0,Monsoon,Stormy,24.4075508,4424.537375
55,454.6499284,1,Spring,Cloudy,20.78211742,5139.419622
56,439.6920179,1,Winter,Rainy,34.33982537,4241.842334
57,174.1173715,1,Winter,Cloudy,16.93952502,4183.721955
58,253.6181436,0,Monsoon,Rainy,21.75038375,3796.0556
59,349.6895147,1,Winter,Rainy,23.52547702,3814.652039
60,446.3317691,1,Winter,Clear,18.9798729,3375.606206
61,228.1238643,0,Winter,Clear,20.14029917,4739.004465
62,272.1511535,1,Summer,Rainy,18.5567802,5755.701908999999
63,134.0497539,0,Summer,Rainy,27.51219165,4687.820897
64,120.5690064,1,Monsoon,Rainy,23.96520964,2930.4685879999997
65,421.8788734,0,Monsoon,Cloudy,35.0,5165.446274
66,503.4360043,0,Spring,Stormy,27.28119936,4616.623639
67,289.1984818,0,Winter,Rainy,25.79403353,4157.318873
68,450.5299347,1,Spring,Stormy,23.58124209,4964.9050640000005
69,354.2454038,1,Winter,Stormy,29.72242798,3749.6657529999998
70,203.2320368,1,Spring,Stormy,15.07400258,3155.181677
71,354.2093408,0,Winter,Clear,29.85948192,3509.100357
72,530.705485,0,Spring,Stormy,22.17141174,2977.097404
73,294.6260941,1,Winter,Rainy,15.0,5668.090839
74,534.6965484,0,Summer,Rainy,18.65487535,3716.011698
75,0.0,1,Winter,Clear,31.10712353,3906.082192
76,423.2853757,0,Monsoon,Cloudy,25.68451924,4776.389541
77,313.0570602,0,Monsoon,Rainy,35.0,4215.727398
78,255.1488974,1,Spring,Clear,21.09320369,4807.227466
79,313.7641165,0,Spring,Cloudy,24.44796081,4787.162132
80,1.86466281,0,Summer,Stormy,23.93776868,5023.486137
81,267.0492168,0,Spring,Cloudy,16.73976805,5733.468473000001
82,353.5668857,1,Monsoon,Stormy,23.98537754,3511.643145
83,521.6841067,0,Spring,Clear,25.70243657,4895.170153
84,222.2594673,1,Monsoon,Clear,23.4871035,5005.340142
85,178.7259596,1,Monsoon,Rainy,32.36719557,3859.109549
86,224.7364435,0,Summer,Clear,21.77243877,5258.895786000001
87,437.3103177,1,Summer,Stormy,24.16974255,4459.544065
88,349.3126664,1,Winter,Clear,17.01093227,6099.128273
89,220.5359694,1,Monsoon,Stormy,20.64133762,3077.960368
90,376.990115,0,Spring,Stormy,15.22893389,4019.303683
91,314.5616324,1,Monsoon,Stormy,24.61796036,4271.592137
92,445.2967486,0,Monsoon,Stormy,26.79287961,3993.473774
93,194.6920359,1,Winter,Cloudy,27.89270612,4064.3752540000005
94,250.850678,0,Summer,Stormy,25.09401157,4815.923941
95,241.183777,0,Winter,Clear,24.36469589,4548.62474
96,80.47275778,1,Winter,Stormy,23.421523,5016.173765
97,344.4180416,1,Monsoon,Cloudy,23.85652888,4155.913433
98,339.1582908,1,Winter,Stormy,17.94216168,4953.80754
99,300.7670185,1,Monsoon,Rainy,24.46779827,3481.9469579999995
100,264.81193,1,Summer,Clear,19.86916136,4090.559129
101,87.69438869,0,Winter,Stormy,24.36043859,3700.4354009999997
102,236.9032016,1,Monsoon,Stormy,18.86975449,4690.221682
103,248.5928225,0,Spring,Clear,29.48811254,3782.708671
104,179.6584096,1,Winter,Rainy,33.09110914,3810.94077
105,275.8071433,1,Monsoon,Clear,18.98168682,3641.2408649999998
106,360.6076285,0,Spring,Clear,20.64558871,4101.304220999999
107,582.9278852,0,Winter,Clear,21.47771188,6861.735860999999
108,326.1866719,0,Monsoon,Clear,24.26495112,5943.561343
109,338.6325586,0,Monsoon,Clear,30.20863082,4140.207207
110,288.8331126,1,Monsoon,Clear,16.53237767,4126.71855
111,12.18431771,1,Monsoon,Cloudy,23.99016593,4420.874525
112,296.0229187,0,Summer,Clear,32.65360109,5103.027268
113,309.0345315,0,Spring,Clear,17.33483819,4922.261861999999
114,669.4863169,0,Spring,Rainy,31.39721528,5969.160098
115,271.1458553,0,Summer,Clear,20.18491327,4804.831743
116,345.2321014,0,Summer,Stormy,18.32437427,6447.137368
117,294.7932345,1,Spring,Stormy,33.33292893,4452.881627
118,124.6982944,0,Spring,Rainy,31.97970667,4391.741417
119,471.4234222,0,Spring,Rainy,15.0,4294.404284
120,412.7899549,0,Summer,Rainy,31.07542188,4594.089341999999
